color,value,effect,count
Red,0,None,1
Yellow,0,None,1
Green,0,None,1
Blue,0,None,1
Red,1,None,2
Red,2,None,2
Red,3,None,2
Red,4,None,2
Red,5,None,2
Red,6,None,2
Red,7,None,2
Red,8,None,2
Red,9,None,2
Yellow,1,None,2
Yellow,2,None,2
Yellow,3,None,2
Yellow,4,None,2
Yellow,5,None,2
Yellow,6,None,2
Yellow,7,None,2
Yellow,8,None,2
Yellow,9,None,2
Green,1,None,2
Green,2,None,2
Green,3,None,2
Green,4,None,2
Green,5,None,2
Green,6,None,2
Green,7,None,2
Green,8,None,2
Green,9,None,2
Blue,1,None,2
Blue,2,None,2
Blue,3,None,2
Blue,4,None,2
Blue,5,None,2
Blue,6,None,2
Blue,7,None,2
Blue,8,None,2
Blue,9,None,2
Red,Skip,Skip,2
Red,Reverse,Reverse,2
Red,Draw Two,Draw Two,2
Yellow,Skip,Skip,2
Yellow,Reverse,Reverse,2
Yellow,Draw Two,Draw Two,2
Green,Skip,Skip,2
Green,Reverse,Reverse,2
Green,Draw Two,Draw Two,2
Blue,Skip,Skip,2
Blue,Reverse,Reverse,2
Blue,Draw Two,Draw Two,2
Black,Wild,Wild,4
Black,Wild Draw Four,Draw Four,4
